Example output:

PMID,Date,Estimate,Lower,Upper,Ratio,Beta,Pvalue,LessorEqual
11880764,2002,0.76,0.5,1.17,TRUE,FALSE,,
11880764,2002,,,,,,0.02,Equal
11880764,2002,,,,,,0.44,Equal
11880764,2002,1.46,0.94,2.27,TRUE,FALSE,,
11880764,2002,1.31,0.62,2.76,TRUE,FALSE,,
11880764,2002,,,,,,0.01,Equal
11880764,2002,,,,,,0.05,Equal
17189591,2007 Apr 1,1.09,1.09,1.11,TRUE,FALSE,,
10981454,2000 Sep 1 ,,,,,,0.01,Less
10981454,2000 Sep 1 ,,,,,,0.01,Less
10981454,2000 Sep 1 ,4.8,1.4,16.8,TRUE,FALSE,0.01,Equal
10981454,2000 Sep 1 ,3.8,1.1,13.4,TRUE,FALSE,0.04,Equal
12672684,2003 Apr 1,28.9,25.2,32.7,FALSE,FALSE,0.0001,Less
12672684,2003 Apr 1,27.5,22.5,33,FALSE,FALSE,0.0001,Equal
12672684,2003 Apr 1,24.6,21.2,28.3,FALSE,FALSE,0.0007,Equal
12672684,2003 Apr 1,21.8,18.5,25.3,FALSE,FALSE,0.02,Equal
12672684,2003 Apr 1,16.6,13.7,19.9,FALSE,FALSE,,
12672684,2003 Apr 1,,,,,,0.005,Equal
12672684,2003 Apr 1,,,,,,0.07,Equal
17435445,2007 May,1.45,1.03,2.06,TRUE,FALSE,,
17435445,2007 May,2.35,1.47,3.77,TRUE,FALSE,,
17435445,2007 May,1.42,0.89,2.25,TRUE,FALSE,,
33003150,2020 Nov,1.8,0.4,3.2,FALSE,FALSE,,
33003150,2020 Nov,0.4,-0.1,0.8,FALSE,FALSE,,
33003150,2020 Nov,0.6,-0.5,2.1,FALSE,FALSE,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,, ,,,

--------------------------------------------

