PMID,Date,PreceedingText,Estimate,Lower,Upper,Ratio,Beta
10873128,2000 Jun 1,s erythematosus (risk ratio (RR) = ,0.94,0.65,1.35,True,False
11092436,2000 Nov 15,th better survival (hazard ratio = ,0.6,0.4,0.9,True,False
11092436,2000 Nov 15,igh levels of both (hazard ratio = ,2.5,1.7,3.7,True,False
31361012,2019 Nov 1,iratory exacerbation (odds ratio = ,1.81,1.60,2.05,True,False
31361012,2019 Nov 1,iratory exacerbation (odds ratio = ,1.11,1.04,1.20,True,False
30452542,2019 Feb 1,ores (mean differences ranged from ,2.4,0.01,4.8,False,False
30452542,2019 Feb 1,"dence interval (CI): 0.01, 4.8) to ",7.0,2.8,11.1,False,False
30452542,2019 Feb 1,gher odds (odds ratios ranged from ,2.7,1.3,5.6,True,False
30452542,2019 Feb 1,"ged from 2.7 (95% CI: 1.3, 5.6) to ",2.8,1.3,5.7,False,False
10933271,2000 Aug 1,and hospital-adjusted odds ratio = ,0.79,0.60,1.05,True,False
27777220,2016 Nov 15,we estimated that early ART had an ,89,81,95,False,False
27777220,2016 Nov 15,he resulting preventive effect was ,47,3,74,False,False
12672684,2003 Apr 1, 0.02) compared with no incentive (,16.6,13.7,19.9,False,False
14507595,2003 Oct 1,onmenthol cigarettes (odds ratio = ,0.97,0.70,1.34,True,False
17189591,2007 Apr 1,h weight (increase in rate ratio = ,1.09,1.09,1.11,True,False
30834432,2019 Jun 1,ent services (relative risk (RR) = ,1.03,1.01,1.04,True,False
30834432,2019 Jun 1,receive hemoglobin A1C tests (RR = ,1.10,1.02,1.19,True,False
30834432,2019 Jun 1," 1.02, 1.19) and lipid tests (RR = ",1.09,1.02,1.17,True,False
30834432,2019 Jun 1,sk of new diabetes diagnoses (RR = ,0.87,0.76,0.99,True,False
29992226,2018 Oct 1,he risk of placental abruption was ,7.8,5.5,11.0,False,False
29992226,2018 Oct 1,efore pregnancy (rate ratio (RR) = ,3.0,1.6,5.9,True,False
29992226,2018 Oct 1, with preeclampsia/eclampsia (RR = ,13.6,7.0,26.2,True,False
17646205,2007 Oct 15,regression showed an odds ratio of ,0.70,0.61,0.80,True,False
17646205,2007 Oct 15,"s, except for eczema (odds ratio = ",0.74,0.60,0.91,True,False
15840622,2005 May 1,stment resulted in a rate ratio of ,0.80,0.77,0.84,True,False
15840622,2005 May 1,t weighting (n = 500: rate ratio = ,0.72,0.26,1.68,True,False
15901629,2005 Jun 1,n increase in waist:hip ratio were ,13.96,10.44,17.48,True,False
15901629,2005 Jun 1,"(95% CI: 10.44, 17.48) for ALT and ",39.44,25.89,52.98,False,False
16968862,2006 Dec 1,moking (adjusted odds ratio (OR) = ,3.4,1.4,8.3,True,False
